
('8', '0'):73.51542663574219
('5', '0'):92.01210021972656
('11', '1'):94.55913543701172
('12', '0'):99.96266174316406
('11', '3'):5604.5068359375

('11', '0'):4.628509521484375
('12', '2'):8.124541282653809
('12', '1'):10.111419677734375
('11', '2'):19.315946578979492
('10', '0'):33.41180419921875
('10', '2'):33.6295051574707
('10', '1'):35.77867126464844
('7', '1'):53.9257698059082
('7', '0'):61.5376091003418
('8', '0'):61.96521759033203
('8', '1'):64.23904418945312
('11', '1'):70.2928237915039
('5', '0'):77.93917083740234
('12', '0'):81.6036376953125
('11', '3'):5668.13623046875

('11', '0'):7.336038112640381
('12', '2'):12.679658889770508
('12', '1'):15.08067512512207
('11', '2'):19.60614013671875
('10', '2'):34.92983627319336
('10', '0'):36.42658615112305
('10', '1'):39.88731384277344
('7', '1'):56.573326110839844
('7', '0'):63.40556716918945
('8', '1'):64.84075164794922
('8', '0'):67.23917388916016
('11', '1'):86.29314422607422
('5', '0'):87.71954345703125
('12', '0'):89.74872589111328
('11', '3'):5736.1064453125

('11', '0'):4.36677885055542
('12', '2'):8.090994834899902
('12', '1'):10.032336235046387
('11', '2'):18.532394409179688
('10', '2'):31.383495330810547
('10', '1'):35.41498565673828
('10', '0'):35.4744987487793
('7', '1'):52.21170425415039
('8', '1'):54.99473571777344
('7', '0'):58.6802864074707
('8', '0'):61.194252014160156
('11', '1'):77.89348602294922
('5', '0'):80.9765853881836
('12', '0'):87.06807708740234
('11', '3'):5815.90087890625

('11', '0'):5.668890476226807
('12', '2'):10.318619728088379
('12', '1'):13.36977481842041
('11', '2'):22.196016311645508
('10', '2'):38.02640151977539
('10', '0'):42.998016357421875
('10', '1'):46.2149658203125
('7', '1'):68.4303970336914
('8', '1'):73.2674331665039
('8', '0'):75.61213684082031
('7', '0'):76.06906127929688
('11', '1'):86.47979736328125
('5', '0'):101.52436065673828
('12', '0'):108.44847106933594
('11', '3'):5874.03271484375

('11', '0'):4.5183868408203125
('12', '2'):6.925869464874268
('12', '1'):8.33881664276123
('11', '2'):15.433588027954102
('10', '2'):25.255046844482422
('10', '1'):28.767208099365234
('10', '0'):31.089046478271484
('7', '1'):42.27888488769531
('7', '0'):45.3269157409668
('8', '1'):47.072261810302734
('8', '0'):50.809791564941406
('11', '1'):61.4423828125
('5', '0'):64.03910064697266
('12', '0'):71.47021484375
('11', '3'):5930.40869140625

('11', '0'):8.687311172485352
('12', '2'):13.377806663513184
('12', '1'):16.433000564575195
('11', '2'):20.720258712768555
('10', '2'):39.88629150390625
('10', '0'):42.81560516357422
('10', '1'):44.57331085205078
('7', '1'):64.50972747802734
('8', '1'):67.68534851074219
('7', '0'):68.62499237060547
('8', '0'):77.04722595214844
('11', '1'):89.5338134765625
